"","state","na_Opioids_deaths","na_OD_deaths","na_deaths","na_Other_synthetic_narcotics_deaths"
"1","Alabama",0.402777777777778,0.0138888888888889,0,0.949074074074074
"2","Alaska",0.87962962962963,0.634259259259259,0,1
"3","Arizona",0,0,0,0.944444444444444
"4","Arkansas",0.333333333333333,0.0462962962962963,0,0.99537037037037
"5","California",0,0,0,0.268518518518519
"6","Colorado",0.00462962962962963,0,0,0.962962962962963
"7","Connecticut",0.0509259259259259,0,0,0.87037037037037
"8","Delaware",0.773148148148148,0.435185185185185,0,0.986111111111111
"9","Florida",0,0,0,0.226851851851852
"10","Georgia",0.0694444444444444,0,0,0.800925925925926
"11","Hawaii",0.944444444444444,0.351851851851852,0,1
"12","Idaho",0.916666666666667,0.291666666666667,0,1
"13","Illinois",0,0,0,0.689814814814815
"14","Indiana",0.240740740740741,0.00462962962962963,0,0.898148148148148
"15","Iowa",0.467592592592593,0.222222222222222,0,0.99537037037037
"16","Kansas",0.449074074074074,0.0925925925925926,0,1
"17","Kentucky",0.111111111111111,0,0,0.810185185185185
"18","Louisiana",0.319444444444444,0,0,0.981481481481482
"19","Maine",0.564814814814815,0.240740740740741,0,0.921296296296296
"20","Maryland",0,0,0,0.819444444444444
"21","Massachusetts",0,0,0,0.759259259259259
"22","Michigan",0.0231481481481481,0,0,0.712962962962963
"23","Minnesota",0.212962962962963,0.0138888888888889,0,0.967592592592593
"24","Mississippi",0.75,0.0509259259259259,0,0.99537037037037
"25","Missouri",0.0833333333333333,0,0,0.777777777777778
"26","Montana",0.981481481481482,0.50462962962963,0,1
"27","Nebraska",0.99537037037037,0.62962962962963,0,1
"28","Nevada",0.0138888888888889,0,0,0.990740740740741
"29","New Hampshire",0.490740740740741,0.287037037037037,0,0.856481481481482
"30","New Jersey",0.0601851851851852,0,0,0.87037037037037
"31","New Mexico",0.0185185185185185,0,0,0.990740740740741
"32","New York",0,0,0,0.476851851851852
"33","North Carolina",0.00925925925925926,0,0,0.453703703703704
"34","North Dakota",0.99537037037037,0.990740740740741,0,1
"35","Ohio",0.00925925925925926,0,0,0.481481481481481
"36","Oklahoma",0.0694444444444444,0.00925925925925926,0,0.842592592592593
"37","Oregon",0.00462962962962963,0,0,1
"38","Pennsylvania",0.0138888888888889,0,0,0.666666666666667
"39","Rhode Island",0.449074074074074,0.189814814814815,0,0.884259259259259
"40","South Carolina",0.263888888888889,0.00462962962962963,0,0.865740740740741
"41","South Dakota",1,0.981481481481482,0,1
"42","Tennessee",0.0787037037037037,0,0,0.782407407407407
"43","Texas",0,0,0,0.444444444444444
"44","Utah",0.037037037037037,0.00462962962962963,0,0.958333333333333
"45","Vermont",0.962962962962963,0.833333333333333,0,1
"46","Virginia",0,0,0,0.768518518518518
"47","Washington",0,0,0,0.962962962962963
"48","West Virginia",0.171296296296296,0.087962962962963,0,0.736111111111111
"49","Wisconsin",0.0925925925925926,0,0,0.87962962962963
"50","Wyoming",0.99537037037037,0.814814814814815,0,1
